data	dumb1	ore_di_luce	dumb2
27/11/2017	10,804167	 9,425751	
28/11/2017	10,804167	 9,401281	
29/11/2017	10,804167	 9,377665	
30/11/2017	10,804167	 9,354924	
01/12/2017	10,804167	 9,333078	
02/12/2017	10,804167	 9,312146	
03/12/2017	10,804167	 9,292145	
04/12/2017	10,804167	 9,273095	
05/12/2017	10,804167	 9,255011	
06/12/2017	10,804167	 9,237911	
07/12/2017	10,804167	 9,221812	
08/12/2017	10,804167	 9,206728	
09/12/2017	10,804167	 9,192675	
10/12/2017	10,804167	 9,179668	
11/12/2017	10,804167	 9,167720	
12/12/2017	10,804167	 9,156844	
13/12/2017	10,804167	 9,147050	
14/12/2017	10,804167	 9,138350	
15/12/2017	10,804167	 9,130753	
16/12/2017	10,804167	 9,124268	
17/12/2017	10,804167	 9,118901	
18/12/2017	10,804167	 9,114659	
19/12/2017	10,804167	 9,111547	
20/12/2017	10,804167	 9,109570	
21/12/2017	10,804167	 9,108729	
22/12/2017	10,804167	 9,109026	
23/12/2017	10,804167	 9,110463	
24/12/2017	10,804167	 9,113037	
25/12/2017	10,804167	 9,116748	
26/12/2017	10,804167	 9,121591	
27/12/2017	10,804167	 9,127563	
28/12/2017	10,804167	 9,134656	
29/12/2017	10,804167	 9,142866	
30/12/2017	10,804167	 9,152182	
31/12/2017	10,804167	 9,162595	
